locationid,location,iso3,time,population
4,Afghanistan,AFG,1990,10694796
4,Afghanistan,AFG,2000,19542983
4,Afghanistan,AFG,2010,28189672
4,Afghanistan,AFG,2020,38972231
8,Albania,ALB,1990,3295066
8,Albania,ALB,2000,3182021
8,Albania,ALB,2010,2913400
8,Albania,ALB,2020,2866849
12,Algeria,DZA,1990,25518074
12,Algeria,DZA,2000,30774621
12,Algeria,DZA,2010,35856344
12,Algeria,DZA,2020,43451666
16,American Samoa,ASM,1990,47818
16,American Samoa,ASM,2000,58230
16,American Samoa,ASM,2010,54850
16,American Samoa,ASM,2020,46189
20,Andorra,AND,1990,53570
20,Andorra,AND,2000,66098
20,Andorra,AND,2010,71520
20,Andorra,AND,2020,77700
24,Angola,AGO,1990,11828638
24,Angola,AGO,2000,16394062
24,Angola,AGO,2010,23364186
24,Angola,AGO,2020,33428486
28,Antigua and Barbuda,ATG,1990,63328
28,Antigua and Barbuda,ATG,2000,75055
28,Antigua and Barbuda,ATG,2010,85695
28,Antigua and Barbuda,ATG,2020,92664
31,Azerbaijan,AZE,1990,7427836
31,Azerbaijan,AZE,2000,8190337
31,Azerbaijan,AZE,2010,9237203
31,Azerbaijan,AZE,2020,10284951
32,Argentina,ARG,1990,32637657
32,Argentina,ARG,2000,37070774
32,Argentina,ARG,2010,41100123
32,Argentina,ARG,2020,45036032
36,Australia,AUS,1990,17048003
36,Australia,AUS,2000,19017963
36,Australia,AUS,2010,22019169
36,Australia,AUS,2020,25670051
40,Austria,AUT,1990,7678729
40,Austria,AUT,2000,8010429
40,Austria,AUT,2010,8362829
40,Austria,AUT,2020,8907777
44,Bahamas,BHS,1990,270679
44,Bahamas,BHS,2000,325014
44,Bahamas,BHS,2010,373272
44,Bahamas,BHS,2020,406472
48,Bahrain,BHR,1990,517419
48,Bahrain,BHR,2000,711442
48,Bahrain,BHR,2010,1213645
48,Bahrain,BHR,2020,1477469
50,Bangladesh,BGD,1990,107147651
50,Bangladesh,BGD,2000,129193327
