IndicatorId,IndicatorName,IndicatorShortName,Source,SourceYear,Author,LocationId,Location,Iso2,Iso3,TimeId,Time,VariantId,Variant,SexId,Sex,AgeId,AgeStart,AgeEnd,Age,CategoryId,Category,EstimateTypeId,EstimateType,EstimateMethodId,EstimateMethod,Value
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,4,Afghanistan,AF,AFG,41,1990,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,10694796
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,4,Afghanistan,AF,AFG,42,1991,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,10745167
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,4,Afghanistan,AF,AFG,43,1992,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,12057433
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,4,Afghanistan,AF,AFG,44,1993,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,14003760
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,4,Afghanistan,AF,AFG,45,1994,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,15455555
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,4,Afghanistan,AF,AFG,46,1995,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,16418912
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,4,Afghanistan,AF,AFG,47,1996,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,17106596
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,4,Afghanistan,AF,AFG,48,1997,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,17788819
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,4,Afghanistan,AF,AFG,49,1998,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,18493132
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,4,Afghanistan,AF,AFG,50,1999,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,19262848
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,4,Afghanistan,AF,AFG,51,2000,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,19542983
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,4,Afghanistan,AF,AFG,52,2001,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,19688633
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,4,Afghanistan,AF,AFG,53,2002,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,21000257
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,4,Afghanistan,AF,AFG,54,2003,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,22645130
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,4,Afghanistan,AF,AFG,55,2004,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,23553551
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,4,Afghanistan,AF,AFG,56,2005,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,24411191
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,4,Afghanistan,AF,AFG,57,2006,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,25442944
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,4,Afghanistan,AF,AFG,58,2007,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,25903301
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,4,Afghanistan,AF,AFG,59,2008,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,26427199
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,4,Afghanistan,AF,AFG,60,2009,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,27385308
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,4,Afghanistan,AF,AFG,61,2010,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,28189672
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,4,Afghanistan,AF,AFG,62,2011,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,29249157
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,4,Afghanistan,AF,AFG,63,2012,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,30466479
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,4,Afghanistan,AF,AFG,64,2013,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,31541209
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,4,Afghanistan,AF,AFG,65,2014,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,32716210
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,4,Afghanistan,AF,AFG,66,2015,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,33753499
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,4,Afghanistan,AF,AFG,67,2016,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,34636208
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,4,Afghanistan,AF,AFG,68,2017,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,35643418
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,4,Afghanistan,AF,AFG,69,2018,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,36686784
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,4,Afghanistan,AF,AFG,70,2019,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,37769499
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,4,Afghanistan,AF,AFG,71,2020,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,38972231
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,4,Afghanistan,AF,AFG,72,2021,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,40099462
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,4,Afghanistan,AF,AFG,73,2022,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,41128771
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,4,Afghanistan,AF,AFG,74,2023,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,3,Projection,42239854
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,4,Afghanistan,AF,AFG,75,2024,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,3,Projection,43372950
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,4,Afghanistan,AF,AFG,76,2025,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,3,Projection,44515794
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,4,Afghanistan,AF,AFG,77,2026,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,3,Projection,45667551
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,4,Afghanistan,AF,AFG,78,2027,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,3,Projection,46827624
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,4,Afghanistan,AF,AFG,79,2028,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,3,Projection,47990913
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,4,Afghanistan,AF,AFG,80,2029,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,3,Projection,49158072
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,4,Afghanistan,AF,AFG,81,2030,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,3,Projection,50330837
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,8,Albania,AL,ALB,41,1990,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,3295066
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,8,Albania,AL,ALB,42,1991,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,3302082
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,8,Albania,AL,ALB,43,1992,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,3303739
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,8,Albania,AL,ALB,44,1993,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,3300711
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,8,Albania,AL,ALB,45,1994,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,3293999
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,8,Albania,AL,ALB,46,1995,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,3284364
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,8,Albania,AL,ALB,47,1996,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,3271331
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,8,Albania,AL,ALB,48,1997,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,3253719
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,8,Albania,AL,ALB,49,1998,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,3232176
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,8,Albania,AL,ALB,50,1999,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,3208260
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,8,Albania,AL,ALB,51,2000,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,3182021
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,8,Albania,AL,ALB,52,2001,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,3153612
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,8,Albania,AL,ALB,53,2002,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,3123551
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,8,Albania,AL,ALB,54,2003,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,3092991
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,8,Albania,AL,ALB,55,2004,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,3062623
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,8,Albania,AL,ALB,56,2005,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,3032634
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,8,Albania,AL,ALB,57,2006,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,3003387
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,8,Albania,AL,ALB,58,2007,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,2976084
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,8,Albania,AL,ALB,59,2008,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,2951689
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,8,Albania,AL,ALB,60,2009,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,2930542
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,8,Albania,AL,ALB,61,2010,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,2913400
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,8,Albania,AL,ALB,62,2011,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,2900654
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,8,Albania,AL,ALB,63,2012,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,2892193
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,8,Albania,AL,ALB,64,2013,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,2887014
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,8,Albania,AL,ALB,65,2014,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,2884102
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,8,Albania,AL,ALB,66,2015,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,2882481
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,8,Albania,AL,ALB,67,2016,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,2881063
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,8,Albania,AL,ALB,68,2017,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,2879355
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,8,Albania,AL,ALB,69,2018,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,2877013
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,8,Albania,AL,ALB,70,2019,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,2873884
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,8,Albania,AL,ALB,71,2020,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,2866849
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,8,Albania,AL,ALB,72,2021,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,2854710
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,8,Albania,AL,ALB,73,2022,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,2842321
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,8,Albania,AL,ALB,74,2023,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,3,Projection,2832439
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,8,Albania,AL,ALB,75,2024,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,3,Projection,2826020
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,8,Albania,AL,ALB,76,2025,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,3,Projection,2821627
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,8,Albania,AL,ALB,77,2026,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,3,Projection,2816695
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,8,Albania,AL,ALB,78,2027,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,3,Projection,2811111
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,8,Albania,AL,ALB,79,2028,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,3,Projection,2804772
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,8,Albania,AL,ALB,80,2029,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,3,Projection,2797600
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,8,Albania,AL,ALB,81,2030,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,3,Projection,2789599
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,12,Algeria,DZ,DZA,41,1990,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,25518074
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,12,Algeria,DZ,DZA,42,1991,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,26133905
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,12,Algeria,DZ,DZA,43,1992,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,26748303
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,12,Algeria,DZ,DZA,44,1993,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,27354328
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,12,Algeria,DZ,DZA,45,1994,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,27937006
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,12,Algeria,DZ,DZA,46,1995,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,28478022
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,12,Algeria,DZ,DZA,47,1996,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,28984634
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,12,Algeria,DZ,DZA,48,1997,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,29476031
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,12,Algeria,DZ,DZA,49,1998,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,29924669
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,12,Algeria,DZ,DZA,50,1999,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,30346083
49,Total population by sex,Total population by sex,World Population Prospects,2022,United Nations Population Division,12,Algeria,DZ,DZA,51,2000,4,Median,3,Both sexes,188,0,-1,Total,0,Not applicable,1,Model-based Estimates,2,Interpolation,30774621
