"locationid","location","iso3","time","population","gdp","longitude","latitude"
4,"Afghanistan","AFG",1990,10694796,286.772753005433,67.70995330810547,33.939109802246094
4,"Afghanistan","AFG",2000,19542983,160.829727001827,67.70995330810547,33.939109802246094
4,"Afghanistan","AFG",2010,28189672,503.636605605884,67.70995330810547,33.939109802246094
4,"Afghanistan","AFG",2020,38972231,508.453721937094,67.70995330810547,33.939109802246094
8,"Albania","ALB",1990,3295066,652.983427174762,20.16833114624023,41.1533317565918
8,"Albania","ALB",2000,3182021,1114.51437361059,20.16833114624023,41.1533317565918
8,"Albania","ALB",2010,2913400,4045.74465139427,20.16833114624023,41.1533317565918
8,"Albania","ALB",2020,2866849,5180.91419760391,20.16833114624023,41.1533317565918
12,"Algeria","DZA",1990,25518074,2397.28599717706,1.659626007080078,28.033885955810547
12,"Algeria","DZA",2000,30774621,1761.04899845694,1.659626007080078,28.033885955810547
12,"Algeria","DZA",2010,35856344,4480.78682343691,1.659626007080078,28.033885955810547
12,"Algeria","DZA",2020,43451666,3367.96300289719,1.659626007080078,28.033885955810547
20,"Andorra","AND",1990,53570,23886.0772402792,1.521800994873046,42.50628662109375
20,"Andorra","AND",2000,66098,21854.1774276659,1.521800994873046,42.50628662109375
20,"Andorra","AND",2010,71520,40812.3909264586,1.521800994873046,42.50628662109375
20,"Andorra","AND",2020,77700,37072.4053843701,1.521800994873046,42.50628662109375
24,"Angola","AGO",1990,11828638,1153.05598161269,17.873886108398438,-11.202692031860352
24,"Angola","AGO",2000,16394062,744.556413409248,17.873886108398438,-11.202692031860352
24,"Angola","AGO",2010,23364186,3587.88304121492,17.873886108398438,-11.202692031860352
24,"Angola","AGO",2020,33428486,1895.77070283724,17.873886108398438,-11.202692031860352
28,"Antigua and Barbuda","ATG",1990,63328,7348.23391713105,-61.78918,17.07867
28,"Antigua and Barbuda","ATG",2000,75055,10311.4743874584,-61.78918,17.07867
28,"Antigua and Barbuda","ATG",2010,85695,13049.2570545735,-61.78918,17.07867
28,"Antigua and Barbuda","ATG",2020,92664,13993.3201794346,-61.78918,17.07867
31,"Azerbaijan","AZE",1990,7427836,899.932799579226,47.576927185058594,40.143104553222656
31,"Azerbaijan","AZE",2000,8190337,649.117975821853,47.576927185058594,40.143104553222656
31,"Azerbaijan","AZE",2010,9237203,5857.31827446742,47.576927185058594,40.143104553222656
31,"Azerbaijan","AZE",2020,10284951,4202.23223942024,47.576927185058594,40.143104553222656
32,"Argentina","ARG",1990,32637657,4696.26175534898,-63.61667251586914,-38.41609573364258
32,"Argentina","ARG",2000,37070774,8357.51711691788,-63.61667251586914,-38.41609573364258
32,"Argentina","ARG",2010,41100123,10428.6487964443,-63.61667251586914,-38.41609573364258
32,"Argentina","ARG",2020,45036032,8475.72958198985,-63.61667251586914,-38.41609573364258
36,"Australia","AUS",1990,17048003,19076.5283530026,133.77513122558594,-25.274398803710938
36,"Australia","AUS",2000,19017963,21524.1804589722,133.77513122558594,-25.274398803710938
36,"Australia","AUS",2010,22019169,58654.1143949232,133.77513122558594,-25.274398803710938
36,"Australia","AUS",2020,25670051,55822.7128453068,133.77513122558594,-25.274398803710938
40,"Austria","AUT",1990,7678729,21552.1640354105,14.550071716308594,47.516231536865234
40,"Austria","AUT",2000,8010429,24388.7590147217,14.550071716308594,47.516231536865234
40,"Austria","AUT",2010,8362829,46598.7066681011,14.550071716308594,47.516231536865234
40,"Austria","AUT",2020,8907777,48105.6319825656,14.550071716308594,47.516231536865234
44,"Bahamas","BHS",1990,270679,18607.0012723292,-77.39627838134764,25.03428077697754
44,"Bahamas","BHS",2000,325014,27097.7114654874,-77.39627838134764,25.03428077697754
44,"Bahamas","BHS",2010,373272,28443.5203498036,-77.39627838134764,25.03428077697754
44,"Bahamas","BHS",2020,406472,25194.289197038,-77.39627838134764,25.03428077697754
48,"Bahrain","BHR",1990,517419,9898.81714305915,50.55770111083984,26.066699981689453
48,"Bahrain","BHR",2000,711442,13636.4082771567,50.55770111083984,26.066699981689453
48,"Bahrain","BHR",2010,1213645,20722.1372891347,50.55770111083984,26.066699981689453
48,"Bahrain","BHR",2020,1477469,19925.0015989567,50.55770111083984,26.066699981689453
50,"Bangladesh","BGD",1990,107147651,272.715304440188,90.35633087158205,23.684993743896484
50,"Bangladesh","BGD",2000,129193327,356.183224446251,90.35633087158205,23.684993743896484
50,"Bangladesh","BGD",2010,148391140,775.927250886881,90.35633087158205,23.684993743896484
50,"Bangladesh","BGD",2020,167420951,2000.64015719419,90.35633087158205,23.684993743896484
51,"Armenia","ARM",1990,3556540,650.539689505731,45.03818893432618,40.06909942626953
51,"Armenia","ARM",2000,3168524,664.106326485467,45.03818893432618,40.06909942626953
51,"Armenia","ARM",2010,2946293,3432.1456116214,45.03818893432618,40.06909942626953
51,"Armenia","ARM",2020,2805609,4266.00547864783,45.03818893432618,40.06909942626953
52,"Barbados","BRB",1990,258868,7874.34635312874,-59.55643,13.16705
52,"Barbados","BRB",2000,264657,11609.3249802037,-59.55643,13.16705
52,"Barbados","BRB",2010,274711,16056.1228649103,-59.55643,13.16705
52,"Barbados","BRB",2020,280693,15449.2370021749,-59.55643,13.16705
56,"Belgium","BEL",1990,9959561,20519.5357198245,4.469935894012451,50.50388717651367
56,"Belgium","BEL",2000,10264343,22972.5338891059,4.469935894012451,50.50388717651367
56,"Belgium","BEL",2010,10877947,43967.7397452332,4.469935894012451,50.50388717651367
56,"Belgium","BEL",2020,11561717,45028.3234050509,4.469935894012451,50.50388717651367
60,"Bermuda","BMU",1990,57470,33016.709527209,-64.75050354003906,32.30780029296875
